 ,X,Y
1,1041.0000,2140.5000
2,993.5000,2095.5000
3,978.1667,2051.5000
4,971.8333,2007.1666
5,968.8333,1960.1666
6,967.5000,1912.8334
7,7.1667,19.8334
8,7.1667,15.1667
9,7.8333,12.8333
10,7.8333,10.1667
11,8.5000,8.1667
12,9.0000,5.7500
13,9.3750,4.0000
14,9.3750,3.2500
15,10.1250,2.7500
16,12.0000,2.0000
17,13.6250,1.7500
18,1056.5000,2141.5000
19,1031.0000,2097.0000
20,1014.5000,2052.5000
21,1006.0000,2011.5000
22,1003.5000,1964.0000
23,999.5000,1917.0000
24,998.5000,1871.5000
25,998.0000,1823.0000
26,13.2500,20.3333
27,13.4583,19.2917
28,13.4583,18.9167
29,13.4583,18.3333
30,13.4583,17.9167
31,13.4583,17.3333
32,13.5417,17.0833
33,13.5833,16.5833
34,13.6250,16.0833
35,1097.7500,2144.0000
36,1071.2500,2101.2500
37,1056.5000,2056.2500
38,1045.7500,2013.5000
39,1042.5000,1965.7500
40,1040.5000,1917.7500
41,1037.7500,1872.0000
42,1035.2500,1827.2500
43,1042.0000,1778.2500
44,1046.2500,1729.0000
45,1048.5000,1681.0000
46,1048.5000,1633.7500
47,1056.7500,1584.5000
48,18.7500,5.8750
49,18.6875,5.1250
50,18.5000,3.7500
51,18.6250,2.9375
52,1146.8333,2145.5000
53,1121.5000,2103.1667
54,1104.5000,2057.1667
55,1092.5000,2014.8334
56,1084.1666,1967.1666
57,1082.1666,1919.8334
58,1080.5000,1874.5000
59,1080.1666,1828.8334
60,1077.8333,1781.8334
61,1075.1666,1732.1666
62,1076.1666,1684.5000
63,1079.1666,1638.1666
64,1086.5000,1589.8334
65,1097.5000,1536.8334
66,1114.5000,1484.8334
67,1148.8333,1428.1666
68,22.1250,3.2500
69,1197.8333,2137.5000
70,1173.8333,2102.8333
71,1157.5000,2058.5000
72,1143.5000,2018.8334
73,1135.5000,1968.5000
74,1129.5000,1922.5000
75,1124.8333,1877.1666
76,1121.8333,1830.5000
77,1118.1666,1782.8334
78,1114.8333,1734.5000
79,1114.5000,1687.5000
80,1118.1666,1640.1666
81,1122.8333,1591.8334
82,1133.8333,1541.5000
83,1150.8333,1487.8334
84,1178.5000,1431.5000
85,25.2500,2.2500
86,32.8333,19.5000
87,1239.5000,2100.8333
88,1217.5000,2058.5000
89,1203.8333,2015.8334
90,1191.1666,1968.5000
91,1184.5000,1920.5000
92,1178.8333,1875.8334
93,1172.1666,1831.8334
94,1165.8333,1782.5000
95,1160.8333,1736.5000
96,1160.5000,1688.5000
97,1166.5000,1639.8334
98,1172.5000,1590.8334
99,1185.1666,1539.5000
100,1199.5000,1489.1666
101,1230.5000,1431.8334
102,41.0000,3.5000
103,57.5000,33.5000
104,58.1667,26.8333
105,1277.5000,2051.1667
106,1258.1666,2014.5000
107,1249.5000,1966.5000
108,1240.8333,1921.1666
109,1234.8333,1874.5000
110,1228.8333,1829.5000
111,1220.8333,1782.1666
112,1214.8333,1735.5000
113,1215.8333,1687.5000
114,1222.5000,1639.5000
115,1228.8333,1590.1666
116,1241.5000,1539.1666
117,1261.1666,1485.1666
118,1299.1666,1428.1666
119,60.5000,15.7500
120,71.0000,17.3333
121,69.6667,20.6667
122,70.3333,25.1667
123,71.3333,31.1667
124,1391.8333,1945.1666
125,1371.5000,1906.5000
126,1327.5000,1868.5000
127,1283.1666,1830.1666
128,1272.1666,1781.5000
129,1268.5000,1733.8334
130,1270.1666,1686.8334
131,1275.1666,1637.5000
132,1285.5000,1587.1666
133,1301.5000,1535.5000
134,1330.8333,1480.1666
135,1371.5000,1436.1666
136,79.5000,10.6667
137,88.5000,19.0000
138,88.6667,22.1667
139,88.8333,25.1667
140,89.3333,29.0000
141,89.5000,32.6667
142,1437.8333,1903.1666
143,1409.1666,1866.1666
144,1359.5000,1826.5000
145,1323.8333,1782.5000
146,1320.1666,1734.5000
147,1322.5000,1687.5000
148,1330.1666,1637.8334
149,1342.8333,1586.8334
150,1367.1666,1531.1666
